YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,TOA_SW_DWN,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,PRECTOTCORR,RH2M,QV2M,PS,WS2M,WS10M,WD2M,WD10M
2023,4,21,12,2.41,3.47,4.65,301.77,408.33,39.78,1.38,7.02,6.14,-8.01,-0.93,0.01,34.94,3.3,62.33,6.04,11.49806979,220.49,220.68
2023,5,3,11,2.34,3.53,4.65,292.45,417.55,40.7,1.41,7.17,6.3,-0.84,2.73,0,61.88,5.92,62.53,6.04,11.49806979,226.05,226.05
2023,5,26,14,1.84,3.13,4.03,239.27,381.65,34.84,1.19,6.02,7.77,1.11,4.44,0.15,64.44,6.84,62.4,6,11.42192363,220.41,220.39
2023,4,5,15,1.85,2.39,3.11,223.75,283.17,30.66,0.7,3.5,2.94,-4.2,-0.63,0.09,59.88,4.52,62.16,5.95,11.32674094,219.88,219.92
2023,5,14,16,0.9,1.48,2.41,110.38,175.25,14.53,0.27,1.33,7.1,0.5,3.8,0.07,64.44,6.53,62.25,5.87,11.17444862,223.65,223.7
2023,5,4,11,0.74,3.4,4.65,110.42,404.7,16,0.54,2.83,5.98,-0.74,2.62,1.65,64.06,5.98,62.46,6,11.42192363,221.89,221.89
2023,5,7,13,2.32,3.51,4.48,291.08,416.65,40.9,1.48,7.83,7.51,-1.56,2.98,0,53.75,5.62,62.3,6.01,11.44096017,222.31,222.3
2023,5,25,16,0.6,1.46,2.47,81.88,173.2,10.69,0.22,1.08,6.01,1.69,3.85,0.36,76,7.14,62.34,5.84,11.117339,227.33,227.49
2023,5,25,11,2.14,3.68,4.67,291.98,452.25,42.64,1.66,8.83,8.78,1.36,5.07,0.07,61.56,6.96,62.43,5.93,11.28866786,226.28,226.48
2023,3,21,13,0.97,2.54,4.18,131.45,285.8,18.14,0.49,2.52,0.41,-4.27,-1.93,0.73,72.25,4.58,61.87,5.89,11.2125217,214.47,214.49
2023,4,29,13,1.45,3.24,4.46,188.58,378.6,25.55,0.79,3.9,5.23,-1.79,1.73,0.3,61.81,5.49,62.44,5.94,11.3077044,215.53,215.57
2023,3,26,13,3,3.4,4.24,358.15,400.05,49.62,1.56,8,4.34,-7.51,-1.58,0,41.62,3.48,62.25,5.94,11.3077044,229.59,229.59
2023,4,3,13,2.42,3.43,4.31,304.3,413.08,43.89,1.38,6.98,4.1,-2.77,0.66,0,62.31,5.13,62,5.93,11.28866786,228.37,228.31
2023,5,10,16,1.32,1.66,2.39,150.1,187.45,19.23,0.34,1.62,4.26,-8.45,-2.1,0,38.19,3.17,62.29,5.9,11.23155824,216.11,216.19
